"Method","Company #","Company","Address","Order #","Name","#","Last","Ship Date","Invoice Amount","Status"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77359"," fin-Reinford (77333) drawers","12","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","937.40","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77308","Straume doors ","14","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","1,931.39","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77360","fin-Straume (77308) drawers ","4","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","294.38","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77627","Hunt","2","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","146.16","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77517","fin-Hollis Drawers","48","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","3,013.36","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77516","Hollis doors ","107","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","3,986.14","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77514","Brady doors ","23","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","1,238.64","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77533","fin-Brady (77514) drawers","7","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","419.42","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77487","Quint","2","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","93.28","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77849","fin- Bouman (77810)drawers","22","DOORS-Loaded in Truck 06/07/2022 02:48 PM","Jun 08,2022","1,636.97","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77810","Bouman","45","DOORS-Loaded in Truck 06/07/2022 02:48 PM","Jun 08,2022","1,877.75","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78093","fin-Connors 2 drawers","6","BOXES-On Pallet 06/14/2022 11:36 AM","Jun 15,2022","819.66","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78237","Joseph","1","DOORS-On Pallet 06/13/2022 05:56 AM","Jun 15,2022","60.18","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78065","fin- Eichholz (78043) drawer","5","BOXES-On Pallet 06/14/2022 11:36 AM","Jun 15,2022","432.06","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78043","Eichholz","14","DOORS-On Pallet 06/13/2022 10:43 AM","Jun 15,2022","874.46","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78498","fin-Riley, Colleen (78422)drawers","35","BOXES-Loaded in Truck 06/28/2022 03:54 PM","Jun 29,2022","2,649.18","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78499"," Riley, Colleen (78422)#1","53","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","5,139.51","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78500","  Riley, Colleen (78422) #2","4","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","129.55","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78501","  Riley, Colleen (78422) #3","10","DOORS-Loaded in Truck 06/28/2022 03:52 PM","Jun 29,2022","627.36","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78422","Riley, Colleen","17","DOORS-Loaded in Truck 06/28/2022 03:52 PM","Jun 29,2022","1,331.26","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78570","fin- Caldwell (78513) drawer","32","BOXES-Loaded in Truck 06/28/2022 03:54 PM","Jun 29,2022","2,154.77","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78513","Caldwell","80","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","4,509.52","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78608","Thye","33","BOXES-On Pallet 07/01/2022 02:09 PM","Jul 06,2022","1,158.93","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78619","fin-Thye (78608) drawer","13","BOXES-On Pallet 07/01/2022 02:09 PM","Jul 06,2022","913.20","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78793"," Askins  (78761) drawer #1","13","BOXES-On Pallet 07/11/2022 01:25 PM","Jul 13,2022","811.13","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78795","fin-Askins  (78761) drawer #2","2","BOXES-On Pallet 07/11/2022 01:23 PM","Jul 13,2022","157.98","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78761","Askins ","42","DOORS-On Pallet 07/11/2022 11:25 AM","Jul 13,2022","2,833.93","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78982"," fin- Caudle (78945) drawer","3","BOXES-On Pallet 07/11/2022 01:19 PM","Jul 13,2022","187.49","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78945","Caudle","10","DOORS-On Pallet 07/08/2022 10:32 AM","Jul 13,2022","280.21","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78985","fin-Tatchick (78955) drawers #1","1","BOXES-On Pallet 07/11/2022 10:00 AM","Jul 13,2022","101.98","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78987","fin-Tatchick (78955) drawer #2","39","none","Jul 13,2022","3,043.08","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78988"," Tatchick (78955) pt grade","10","DOORS-On Pallet 07/08/2022 10:32 AM","Jul 13,2022","272.92","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78955","Tatchick kn alder","77","DOORS-On Pallet 07/12/2022 09:39 AM","Jul 13,2022","3,121.06","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","79038","Mulder","2","DOORS-On Pallet 07/11/2022 12:38 PM","Jul 13,2022","570.46","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78820"," fin-Finegan (78782) drawers","5","BOXES-On Pallet 07/11/2022 01:19 PM","Jul 13,2022","322.71","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78782","Finegan","21","DOORS-On Pallet 07/11/2022 06:42 AM","Jul 13,2022","937.47","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","79090","fin-Smith (79046) drawer","3","BOXES-On Pallet 07/11/2022 01:19 PM","Jul 13,2022","216.29","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","79046","Smith","13","DOORS-On Pallet 07/08/2022 02:04 PM","Jul 13,2022","758.96","Ship Order"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","78908","Riley ","4","DOORS-On Pallet 07/11/2022 11:23 AM","Jul 13,2022","964.80","Ship Order"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","77246","Copy of Lot 38-Stadler Residence #4693-21 (76413)","20","DOORS-Loaded in Truck 05/31/2022 01:48 PM","Jun 01,2022","454.22","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","77495","Winters #4727-22","15","DOORS-Loaded in Truck 05/31/2022 01:48 PM","Jun 01,2022","510.08","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","77494","Condon #4636-21","6","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","201.68","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","77568","Condon #4636-21","60","DOORS-Loaded in Truck 05/31/2022 01:48 PM","Jun 01,2022","2,604.76","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","78602","  Den Boer (78565) sel alder","20","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","650.74","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","78565","Den Boer pt gr","80","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","3,814.83","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","78763","  Den Boer #4725-22 (78740) sel alder","73","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","3,846.65","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","78740","Den Boer #4725-22 pt gr","29","DOORS-Loaded in Truck 06/28/2022 03:53 PM","Jun 29,2022","1,919.22","Payment Needed"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","78938","Kat Wilen","3","DOORS-On Pallet 07/07/2022 10:21 AM","Jul 13,2022","161.64","Ship Order"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","78964","Lot 36 - Burns","4","DOORS-On Pallet 07/08/2022 06:20 AM","Jul 13,2022","204.70","Ship Order"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","79042","31 Snowberry  - Lexar Homes #4721-22 ","3","DOORS-On Pallet 07/07/2022 09:54 AM","Jul 13,2022","107.23","Ship Order"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","79557"," Winters (79513) sel  alder","10","DOORS-Cutlisted - In Process 07/08/2022 01:31 PM","Jul 27,2022","397.45","Ship Order"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","79513","Winters","66","DOORS-Cutlisted - In Process 07/08/2022 01:31 PM","Jul 27,2022","3,333.65","Ship Order"
"Coast truck","795","Wood Products NW Inc","407 S Water St, Ellensburg, WA 98926","79518","Jason Bell","2","none","Jul 27,2022","79.80","Ship Order"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","76804","FIN-Carolyn K (76751) PARTS","2","SPECIALTY-Loaded on Truck 05/17/2022 03:01 PM","Jun 01,2022","85.42","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","76579","FIN-Adrianne (76491) PARTS","9","DOORS-Loaded in Truck 05/24/2022 02:40 PM","Jun 01,2022","911.48","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","76491","FIN-Adrianne","35","DOORS-Loaded in Truck 05/31/2022 01:51 PM","Jun 01,2022","2,613.03","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","76580","FIN-Williams (76494) PARTS","16","DOORS-Loaded in Truck 05/24/2022 02:40 PM","Jun 01,2022","445.28","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","77819","  FIN-Adrianne (76491)  2 end panels","2","DOORS-Loaded in Truck 05/31/2022 01:48 PM","Jun 01,2022","893.28","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","77989","FIN-GraceANN (77970) parts","1","DOORS-Loaded in Truck 06/07/2022 02:47 PM","Jun 08,2022","56.61","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","77970","FIN-GraceANN","6","DOORS-On Pallet 06/09/2022 01:06 PM","Jun 15,2022","361.51","Payment Needed"
"Coast truck","830","SawBox LLC","8623 S. 212th St., Kent, WA 98031","78889","Melendez Part Finish","1","BOXES-Loaded in Truck 06/14/2022 04:07 PM","Jun 15,2022","0.00","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","76832","FIN-Lost Lake","48","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","2,157.46","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","78254","Shop","3","PS-Finish Shipped 05/31/2022 01:42 PM","Jun 01,2022","436.51","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","76831","FIN-Boon","124","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","7,715.58","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","77135","FIN-Tara kitchen","49","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","2,307.62","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","78551","Shop finish","1","DOORS-Loaded in Truck 06/07/2022 02:48 PM","Jun 08,2022","35.25","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","77901","FIN-Mel Stained","48","DOORS-Loaded in Truck 06/07/2022 02:47 PM","Jun 08,2022","2,099.15","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","77902","FIN-Mel","22","DOORS-Loaded in Truck 06/07/2022 02:47 PM","Jun 08,2022","694.02","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","77492","FIN-King Apartment doors ","33","BOXES-Loaded in Truck 06/14/2022 04:07 PM","Jun 15,2022","1,596.90","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79293","Remake of FIN-Doug S addons (74507)","1","DOORS-On Pallet 07/01/2022 01:13 PM","Jul 06,2022","0.00","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79312","  FIN-Doug S (73325) redo","3","DOORS-Loaded in Truck 07/01/2022 02:06 PM","Jul 06,2022","203.57","Payment Needed"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79692","Shop finish","1","PS-On Pallet 07/11/2022 12:00 PM","Jul 13,2022","208.69","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","78757","FIN-Boon add on","3","DOORS-On Pallet 06/30/2022 07:20 AM","Jul 13,2022","85.89","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79371","FIN-Larsen","8","DOORS-On Pallet 07/12/2022 07:07 AM","Jul 20,2022","724.28","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79002","Sickler","5","DOORS-On Pallet 07/08/2022 08:57 AM","Jul 20,2022","789.10","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79578","FIN-Keller","46","none","Jul 27,2022","3,142.29","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79297","FIN-J Beech Paint","4","none","Jul 27,2022","448.24","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79271","FIN-J Beech","66","DOORS-Finish- in process 07/12/2022 11:03 AM","Jul 27,2022","5,033.09","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79691","FIN-J B Linen","4","none","Jul 27,2022","397.36","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79733","FIN-Boon Replacement","1","none","Aug 02,2022","125.82","Ship Order"
"Coast truck","337","Creative Custom Cabinets Inc","1130 296th St NE, Stanwood, WA 98292","79734","FIN-Sharz","7","none","Aug 02,2022","291.64","Ship Order"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","77759","fin-Shashank  drawer","2","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","108.62","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","77760","Shashank mitered drawer fronts","11","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","436.70","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","77761","fin-Shashank  drawers","25","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","2,052.31","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","77762","Shashank  mitered glass door","12","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","489.45","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","78350"," Samples  (78335) #2","1","DOORS-Loaded in Truck 05/31/2022 02:26 PM","Jun 06,2022","51.64","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","78335","Samples #1","2","DOORS-Loaded in Truck 05/31/2022 02:25 PM","Jun 06,2022","188.00","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","78159","Stein ","46","BOXES-Loaded in Truck 06/14/2022 04:06 PM","Jun 15,2022","6,679.85","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","78219","fin-Puro drawers","23","BOXES-Loaded in Truck 06/14/2022 04:06 PM","Jun 15,2022","2,096.91","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","78225","fin-Sarah drawer","14","BOXES-Loaded in Truck 06/14/2022 04:06 PM","Jun 15,2022","1,139.53","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","79377","fin-Puro drawer","1","BOXES-On Pallet 07/11/2022 09:59 AM","Jul 13,2022","72.65","Payment Needed"
"Coast truck","504","Hacienda Custom Woodwork","4660 E. Marginal Way South, Seattle, WA 98134","78911","fn-Shashank drawers","2","BOXES-On Pallet 07/11/2022 10:00 AM","Jul 13,2022","199.34","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","77839","fin-Kroymann 41433 ASAP drawers","12","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","888.20","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","77742"," fin- Kroymann 41287 6-14 (77737) drawers #2","16","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","1,163.22","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","77737","fin-Kroymann 41287 6-14 drawer #1","17","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","2,371.92","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78235","fin-Huynh 41327 6-27 (78228) drawer #2","20","BOXES-Loaded in Truck 06/14/2022 04:06 PM","Jun 15,2022","1,421.47","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78228","fin-Huynh 41327 6-27 drawer #1","8","BOXES-Loaded in Truck 06/14/2022 04:06 PM","Jun 15,2022","1,149.88","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78780","Remake of Sip 41265 (77147)","8","DOORS-On Pallet 06/09/2022 10:55 AM","Jun 26,2022","0.00","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78611","fin-Creative K&B 41344 pt1 7-11 (78581) drawers #2","29","BOXES-Loaded in Truck 06/28/2022 03:55 PM","Jun 29,2022","2,045.90","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78581","fin-Creative K&B 41344 pt1 7-11 drawer #1","17","BOXES-Loaded in Truck 06/28/2022 03:54 PM","Jun 29,2022","2,775.44","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78618","fin-Creative K&B 41344 pt2 7-11  (78593) drawer #2","23","BOXES-Loaded in Truck 06/28/2022 03:55 PM","Jun 29,2022","1,771.70","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78593","fin-Creative K&B 41344 pt2 7-11  drawer #1","13","BOXES-Loaded in Truck 06/28/2022 03:55 PM","Jun 29,2022","2,108.48","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","7120 S. 180th St. , Tukwila, WA 98188","78617","fin-Rogers 41388 7-11 drawers","3","BOXES-On Pallet 07/01/2022 02:09 PM","Jul 06,2022","318.41","Payment Needed"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78837","fin- McVay 41374 7-21 (78779) drawer #2","18","BOXES-On Pallet 07/11/2022 10:00 AM","Jul 12,2022","1,337.25","Ship Order"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78779","fin-McVay 41374 7-21 drawer #2","15","BOXES-On Pallet 07/11/2022 09:59 AM","Jul 12,2022","2,302.54","Ship Order"
"Coast truck","357","Superior Custom Cabinets","19014A Des Moines Memorial Dr. S, Seatac, WA 98148","78924","fin-Phoenix Const 41354 (78915) drawer #2","18","BOXES-On Pallet 07/11/2022 01:19 PM","Jul 13,2022","1,203.74","Ship Order"
